                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1105,                 2.6132,                 1.2453,                0.65226,                0.81076,                0.77427,                0.57685,                   1.07,                  1.289,                 1.1543,             0.00033247,             0.00033247,             0.00033247
                      2,                 1.0872,                 1.8033,                 1.1985,                0.75413,                0.89082,                 0.8187,                0.62962,                0.95999,                 1.1305,                 1.0839,              0.0006625,              0.0006625,              0.0006625
                      3,                 1.0986,                 1.6235,                 1.1975,                0.79759,                0.73453,                0.78778,                0.57559,                 0.9715,                 1.1563,                 1.0701,             0.00098924,             0.00098924,             0.00098924
                      4,                 1.0554,                 1.3929,                 1.1739,                0.68371,                0.85154,                 0.8098,                 0.6097,                0.99146,                 1.0176,                 1.0772,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.0256,                 1.2325,                 1.1526,                0.77648,                0.90287,                0.83105,                 0.6492,                0.95445,                0.89425,                 1.0525,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.0162,                  1.144,                 1.1398,                0.67952,                0.88565,                0.85512,                0.66257,                0.93514,                0.90014,                 1.0337,             0.00097525,             0.00097525,             0.00097525
                      7,                0.97094,                 1.0462,                  1.117,                0.76086,                0.89557,                 0.8686,                0.67611,                 0.9623,                0.84567,                 1.0316,              0.0009703,              0.0009703,              0.0009703
                      8,                0.95933,                0.99112,                 1.1105,                0.79295,                0.85937,                0.87432,                0.68507,                0.97453,                0.79991,                 1.0479,             0.00096535,             0.00096535,             0.00096535
                      9,                0.95359,                0.94467,                 1.1109,                0.76776,                0.94282,                0.89094,                0.67966,                0.94038,                0.79089,                 1.0327,              0.0009604,              0.0009604,              0.0009604
                     10,                0.92675,                0.89716,                 1.0959,                0.81381,                0.88658,                0.88808,                0.69469,                 0.9067,                0.75618,                 1.0094,             0.00095545,             0.00095545,             0.00095545
                     11,                0.91301,                0.86317,                 1.0831,                0.80222,                0.87721,                 0.8995,                0.70827,                0.95355,                0.75005,                 1.0258,              0.0009505,              0.0009505,              0.0009505
                     12,                0.89652,                 0.8236,                 1.0728,                0.77584,                0.90722,                0.88091,                0.69641,                0.96982,                0.72224,                 1.0509,             0.00094555,             0.00094555,             0.00094555
